time,accX,accY,accZ,gyrX,gyrY,gyrZ
3,2092,13048,7916,-182,96,193
6,2196,13056,7964,-138,74,188
9,2216,13140,8020,-102,31,138
12,2060,13188,8104,-96,-46,128
15,2116,13108,7976,-129,-100,146
18,2180,13188,8032,-159,-46,107
21,2208,13176,8076,-155,-38,89
24,2136,13240,8060,-205,-12,34
27,1900,13116,7892,-202,-48,25
30,2136,13084,8080,-226,-33,20
33,2036,13084,8016,-213,-67,73
36,2044,13072,7936,-209,-54,59
39,2068,13188,8028,-257,-57,81
43,2024,13196,7892,-269,-6,89
46,2024,13216,7888,-311,-35,57
49,1976,13112,7972,-293,-28,47
52,1968,13100,7804,-278,-17,85
55,1824,13156,7864,-273,-51,99
58,1740,13076,7924,-276,-60,177
61,1780,13192,8056,-301,-88,208
64,1972,13040,7776,-316,-92,230
67,2088,13060,7884,-316,-98,231
70,1932,13172,7888,-371,-66,200
73,2132,13232,8032,-375,-121,225
76,2044,13180,8012,-357,-120,224
80,2160,13144,8028,-372,-148,234
84,2136,13240,7964,-397,-165,204
87,2264,13188,7996,-404,-130,171
90,2360,13156,7876,-378,-112,127
93,2316,13012,8064,-403,-68,139
96,2112,13152,8248,-390,-139,176
99,2152,12992,8080,-354,-138,201
102,1984,13040,8068,-331,-130,172
105,2128,12848,8040,-286,-132,197
108,2080,13040,7936,-282,-99,175
111,2160,13008,7940,-299,-57,186
115,1996,13032,8044,-302,-63,211
118,2032,13036,8076,-341,-64,226
121,2080,13064,8008,-332,-60,221
124,2044,13076,8120,-320,-72,213
128,2056,13000,8092,-269,-107,183
131,2016,13024,8056,-274,-118,138
134,2096,13088,8124,-236,-83,98
137,2244,13088,8044,-226,-62,67
140,2044,13092,8016,-225,-52,62
143,1924,13100,7996,-249,-42,100
146,1684,13136,7984,-275,-120,167
149,1884,13128,8076,-288,-143,218
152,2020,13044,8004,-308,-207,243
155,2292,13060,8028,-328,-142,204
158,2396,13052,8240,-323,-120,184
161,2324,12976,8128,-302,-62,139
165,2132,13000,8304,-271,-37,127
169,2108,13012,8192,-246,-5,156
172,2192,12916,8252,-228,-19,178
175,2136,12768,8152,-191,4,195
178,2036,12876,8116,-174,0,183
181,1960,12840,7976,-129,34,192
184,1984,12864,8016,-123,-13,210
187,1992,12960,8144,-58,2,189
190,2128,13088,7992,-82,-40,205
193,2164,13176,8080,-73,28,157
196,2080,13176,7804,-130,43,133
199,2008,13376,7856,-151,81,127
202,2044,13260,7984,-192,53,109
205,1936,13332,7988,-210,62,159
208,1880,13372,7916,-243,39,174
212,1956,13316,7812,-307,30,147
215,2080,13288,7796,-307,27,160
218,1880,13104,7800,-306,38,142
221,1876,13080,7860,-339,31,146
224,1892,13124,7856,-318,-19,147
227,2060,13088,7900,-333,35,144
230,2040,13020,7888,-314,24,143
233,2044,13060,7924,-347,-1,81
236,2072,13236,7972,-349,7,95
239,2168,13120,7968,-366,-52,55
242,2196,13100,8148,-371,-41,61
245,2124,13024,8172,-354,-73,57
248,2060,13020,8124,-352,-79,99
251,2104,13092,8060,-340,-109,103
255,2240,12972,8272,-335,-105,91
258,2396,12928,8224,-364,-89,123
261,2124,12876,8344,-338,-102,100
264,2188,12848,8356,-283,-74,124
267,2228,12864,8256,-221,-66,102
270,2116,12756,8260,-141,-40,103
273,2164,12892,8128,-90,-35,102
276,2132,12920,8084,-46,15,92
279,2040,12884,8168,-3,9,106
282,2032,12960,8112,23,-10,127
285,2004,12980,8124,-17,-18,112
288,2056,13112,8232,49,-34,108
291,2240,12988,8172,92,-29,68
294,2260,13304,7888,26,74,74
298,2144,13236,7816,-30,96,95
301,1804,13300,7920,-61,0,103
304,2028,13372,7876,-99,11,111
307,1928,13264,7684,-174,44,136
310,2076,13252,7844,-167,28,122
313,2024,13312,7852,-218,-1,121
316,2060,13312,7820,-241,-24,101
319,2028,13380,7612,-281,-27,138
322,2108,13396,7756,-368,-39,142
325,2076,13364,7636,-398,-39,137
328,2172,13384,7808,-430,-59,109
332,2132,13324,7708,-450,-98,95
335,2160,13132,7876,-456,-98,66
338,2320,13256,7968,-452,-82,60
342,2152,13184,8000,-440,-100,30
345,2052,13068,8032,-418,-158,14
348,2028,13080,7936,-375,-124,-7
351,2128,12984,8064,-370,-192,-16
