time,accX,accY,accZ,gyrX,gyrY,gyrZ
3,4164,12904,6080,-222,552,-58
6,3880,13044,6072,-217,530,-80
9,3836,13120,6048,-250,498,-74
12,3872,13052,5968,-231,531,-89
15,4144,13056,6100,-280,552,-107
18,4160,13052,6096,-285,599,-127
21,3920,13020,6352,-276,625,-143
25,3804,12996,6296,-279,578,-150
28,3716,13068,6116,-291,552,-161
32,3764,12940,6144,-271,589,-151
35,3672,13024,6140,-270,515,-143
38,3496,13056,6100,-281,477,-103
41,3568,13100,6288,-303,433,-55
45,3612,13072,6116,-308,395,-26
48,3620,13036,6144,-317,381,19
51,3468,12924,6256,-295,326,38
54,3392,13060,6220,-305,200,34
57,3484,13000,6168,-300,117,86
60,3516,13060,6208,-296,108,133
63,3536,13104,6244,-290,65,161
66,3496,13164,6088,-305,7,175
69,3612,13136,6260,-286,-85,210
73,3636,13004,6316,-303,-153,241
77,3700,13112,6308,-321,-136,229
80,3756,13064,6256,-281,-130,248
83,3784,13012,6408,-268,-112,234
86,3900,13020,6224,-277,-149,224
89,4004,13052,6288,-238,-90,217
92,4256,13028,6264,-274,69,185
95,4036,13028,6048,-247,123,147
98,4008,13100,6368,-242,199,150
102,4128,12976,6132,-241,171,127
105,4220,13080,6196,-219,172,86
108,4268,12992,6044,-223,241,47
111,4132,13072,6100,-256,250,16
114,3920,13032,6176,-256,258,-9
118,3948,12996,6084,-277,289,-32
121,4048,13028,6056,-283,253,-59
124,4004,13028,6028,-296,324,-58
127,3836,12988,6264,-304,320,-104
131,3632,12996,6180,-273,287,-57
134,3700,12936,6140,-301,279,-65
137,3716,13040,6132,-326,268,-60
140,3764,13024,6196,-337,267,-49
143,3628,13004,6352,-337,282,-22
146,3548,12964,6352,-334,283,3
149,3672,13000,6232,-321,237,33
152,3692,13040,6232,-323,248,40
155,3680,13120,6256,-293,223,48
159,3576,13024,6292,-305,201,68
162,3488,13000,6240,-339,182,100
166,3568,13024,6064,-301,144,112
169,3564,13084,6068,-323,103,136
172,3456,13116,6120,-327,65,166
175,3548,12964,6164,-316,38,171
178,3616,13016,6156,-337,-7,221
181,3644,13068,6348,-334,-58,253
184,3680,12936,6224,-325,-85,247
187,3828,13028,6272,-321,-80,281
190,3752,13036,6336,-324,-119,283
194,3664,13116,6292,-294,-81,294
197,3644,13036,6176,-306,-159,287
201,3516,13036,6228,-294,-196,330
204,3648,13076,6292,-320,-256,318
207,3540,13008,6192,-280,-265,367
210,3544,12968,6284,-336,-307,381
213,3536,12928,6380,-291,-278,421
217,3696,13012,6272,-298,-291,425
220,3956,13048,6152,-268,-283,436
223,3880,13084,6376,-280,-305,395
226,3996,12968,6392,-240,-356,411
229,4108,12960,6384,-256,-373,373
232,4144,13100,6440,-222,-316,325
236,4128,12936,6332,-202,-241,315
239,4160,13028,6256,-191,-166,268
242,3936,13104,6212,-174,-77,246
246,3908,13148,5952,-200,-79,222
249,4008,12976,6192,-216,-80,226
252,4044,13004,6112,-242,-66,209
255,4096,13080,6144,-271,-42,178
258,4140,12960,6396,-269,20,145
261,4140,12984,6124,-290,76,134
265,3952,12988,6284,-266,112,113
268,3988,12908,6092,-292,95,98
271,3864,13088,6000,-311,160,104
274,3788,13028,6128,-308,159,120
277,3712,13120,6032,-328,111,131
280,3732,12980,6116,-332,131,106
283,3728,13004,6164,-317,102,142
287,3740,13092,6208,-353,39,142
291,3796,12984,6164,-372,26,141
294,3936,13008,6320,-356,17,128
297,3872,13000,6172,-331,51,144
300,3928,12996,6420,-332,-5,117
303,3768,13008,6460,-307,5,111
306,3676,12920,6324,-287,-49,81
309,3708,13048,6184,-326,-55,125
312,3732,13004,6144,-285,-109,131
315,3684,12992,6040,-310,-150,128
318,3684,13004,6292,-268,-184,151
321,3744,12928,6344,-254,-270,159
325,3872,12972,6532,-261,-272,171
329,3932,13060,6472,-242,-249,140
332,3940,13016,6244,-209,-262,141
335,3964,12948,6352,-208,-228,130
338,3844,13016,6332,-189,-234,114
341,3992,12988,6152,-170,-183,102
345,3952,12956,6248,-187,-146,121
348,3948,13048,6292,-195,-92,78
351,3908,13008,6084,-186,-85,83
354,3860,12988,6124,-188,-29,62
357,3984,13020,6084,-192,-49,72
360,3772,13032,6148,-222,53,71
363,3836,13008,6072,-209,7,51
366,3860,13052,6072,-247,6,69
369,3916,13016,6032,-247,36,60
373,3764,12964,6212,-279,78,74
376,3756,13020,6116,-270,99,75
379,3804,13048,6128,-293,71,66
382,3844,13024,6120,-264,102,73
385,3640,12952,6108,-288,58,96
388,3636,13132,6032,-321,31,116
391,3624,13044,6120,-338,-37,134
395,3500,12960,6216,-339,-65,162
398,3388,13180,6172,-347,-73,216
401,3652,13104,6144,-331,-107,252
404,3556,13000,6276,-326,-134,255
407,3748,13032,6272,-334,-164,258
410,3844,12856,6360,-317,-243,289
413,3956,13000,6376,-305,-214,279
417,3924,13036,6472,-259,-186,266
421,3928,13008,6388,-225,-167,249
424,3856,12996,6468,-223,-200,243
427,3972,13016,6248,-204,-198,233
430,3808,13060,6288,-197,-214,241
433,3720,13044,6268,-204,-223,254
436,3636,13040,6080,-208,-250,266
440,3640,13004,6068,-215,-303,321
443,3880,13048,6060,-199,-293,276
446,3828,13020,6224,-237,-299,300
449,3968,13040,6104,-246,-249,303
452,4100,13052,6076,-271,-198,260
455,4124,12988,6064,-251,-102,240
460,3876,13028,6196,-303,-101,266
463,3680,13160,6080,-290,-104,254
466,3808,13008,6096,-313,-85,275
469,4072,13064,6252,-329,-71,239
472,4068,13004,6220,-330,-37,199
475,4244,12992,6384,-308,46,198
478,4208,13072,6332,-323,69,139
481,4196,13040,6380,-263,80,113
484,4072,12908,6340,-276,122,110
488,4092,12920,6256,-266,137,76
491,3884,13024,6272,-249,137,76
494,3856,12972,6228,-266,141,57
497,3808,13028,6140,-245,146,69
501,3836,12920,6284,-242,138,74
504,3872,12868,6176,-246,143,67
507,3960,12996,6336,-249,127,59
510,3812,13004,6312,-232,153,49
513,3756,12956,6284,-221,110,53
516,3640,12952,6260,-233,104,112
520,3568,13040,6056,-227,63,121
523,3552,12984,6096,-267,66,145
526,3464,13008,6260,-238,4,201
529,3560,12980,6204,-256,-20,221
532,3724,12996,6152,-241,-90,241
535,3888,12972,6164,-271,-113,227
538,3996,13024,6260,-284,-78,226
541,3928,13076,6348,-230,-81,212
545,3928,12996,6400,-220,-85,175
548,4080,12980,6444,-211,-99,186
552,3984,13012,6308,-236,-72,175
555,3868,13020,6152,-198,-15,156
558,3732,13060,6304,-246,-42,175
561,3704,12956,6124,-249,-68,194
564,3728,13032,6100,-272,-120,218
567,3820,13092,6068,-288,-95,239
570,4052,13068,6112,-295,-99,203
573,4004,13060,6344,-283,-46,182
576,4036,12928,6276,-271,-31,166
579,4028,13028,6296,-245,12,138
583,4032,12996,6300,-259,36,132
587,3956,12892,6284,-254,20,110
590,4008,13052,6252,-232,44,89
593,3996,12928,6332,-231,52,86
596,4004,12984,6268,-219,30,54
599,4020,12984,6312,-204,53,54
602,4084,12964,6280,-196,125,39
605,3892,13040,6244,-189,135,22
608,3904,12948,6292,-184,101,12
611,3756,12984,6260,-173,56,26
614,3828,13000,6176,-213,83,32
617,3788,13048,6052,-191,23,60
620,3764,13032,6316,-221,52,82
623,3716,13060,6084,-207,54,71
626,3676,13080,6116,-212,53,124
631,3732,13044,6036,-231,41,147
634,3648,13140,6256,-265,51,135
637,3700,13064,6184,-242,60,202
640,3604,12984,6028,-268,25,203
643,3628,13032,6044,-306,-15,255
646,3788,13036,6032,-318,-14,264
649,3796,12928,6152,-315,-15,262
652,3792,13036,6340,-320,-21,298
655,3824,13076,6164,-364,-56,305
658,3880,13064,6188,-347,-95,289
661,3988,13008,6456,-329,-120,266
665,4008,13036,6400,-319,-102,252
668,3900,13056,6272,-286,-123,228
672,3764,13040,6248,-281,-112,229
675,3944,12816,6424,-282,-130,214
678,3944,12948,6376,-276,-135,224
681,3928,12992,6224,-281,-130,219
685,3816,12956,6344,-246,-184,198
688,3948,12932,6316,-251,-246,192
691,4008,13024,6264,-261,-194,181
694,4020,12892,6292,-231,-259,160
697,4064,12996,6352,-234,-204,167
700,4180,13012,6372,-232,-157,103
704,4228,13040,6348,-191,-125,74
707,4288,13040,6244,-220,-18,71
710,4004,12996,6244,-152,2,20
714,3996,12992,6284,-210,10,-6
717,3836,13172,6144,-206,52,29
720,3804,13100,6040,-215,89,32
723,3836,13076,5992,-239,84,45
726,3592,13012,5980,-260,119,49
729,3508,12976,6080,-296,59,102
732,3776,13068,6176,-305,44,133
735,3888,12988,6020,-329,74,134
738,3820,13012,6304,-328,135,148
741,3872,13052,6316,-325,122,126
744,3896,12928,6228,-341,92,132
748,3884,12944,6304,-287,94,134
751,3884,13016,6320,-304,73,144
754,3936,13020,6348,-292,34,137
758,3972,13088,6396,-275,57,112
761,3840,12988,6300,-275,38,128
764,3940,12944,6260,-238,64,113
767,3808,13004,6256,-279,60,120
770,3792,13056,6244,-228,82,132
773,3836,12920,6272,-263,79,124
776,3852,13056,6348,-223,65,132
779,3796,12984,6340,-244,34,126
783,3844,13004,6204,-211,-6,127
786,3848,13040,6160,-251,4,112
789,3880,13036,6252,-233,-26,123
792,3896,12968,6244,-242,3,138
795,3836,12936,6224,-219,-53,117
799,3820,12980,6304,-226,-53,119
802,3872,12996,6232,-214,-48,138
