time,accX,accY,accZ,gyrX,gyrY,gyrZ
3,-5300,7072,10744,2917,1535,1028
7,-4992,6828,10768,3004,1068,1654
10,-4768,6764,10508,3048,676,2222
13,-4460,6544,10432,3077,313,2707
17,-4672,6592,10428,3127,-244,3190
20,-4728,6708,10272,3170,-859,3692
24,-4444,6956,10272,3278,-1356,4182
28,-4088,7160,10464,3405,-1864,4566
31,-3644,7532,10260,3531,-2419,4828
34,-3620,7736,10024,3612,-3593,4974
38,-3244,8044,10448,3725,-4441,5054
41,-3448,8340,10532,3858,-3795,5390
45,-3500,8588,10496,4019,-4051,5575
48,-2904,8560,10616,4146,-4223,5705
51,-2056,8468,10536,4329,-3853,5730
55,-1564,8572,10736,4502,-3343,5628
58,-1020,8996,10216,4627,-2541,5400
61,-764,9268,10188,4632,-1676,5063
66,-564,10016,10052,4565,-841,4632
69,-476,10420,9984,4453,19,4148
72,-540,10652,9716,4295,703,3607
76,-360,11296,9588,4038,1432,3037
79,-332,11440,9524,3770,2154,2403
82,-332,11660,9520,3509,2835,1786
86,-660,11844,9528,3286,3313,1186
89,-936,11964,9412,3017,3709,712
92,-1796,11960,9312,2743,3722,365
95,-2436,11940,9468,2505,3634,136
99,-3036,11908,9812,2324,3299,32
102,-3320,11888,9652,2122,2811,-29
105,-3544,11724,9808,1981,2305,12
110,-3752,11408,9620,1825,1834,5
113,-3696,11152,9584,1677,1508,18
116,-3640,10952,9412,1540,1246,103
119,-3760,10636,9380,1363,1061,140
123,-3660,10284,9408,1217,878,238
126,-4004,9880,9348,1121,631,362
129,-4012,9504,9304,1029,276,528
132,-4264,9400,9376,944,-310,740
136,-4604,9032,9308,885,-1175,998
139,-4548,8936,9272,874,-1835,1314
142,-4348,9024,9600,900,-1933,1698
145,-3964,8996,9592,939,-1922,1970
150,-3580,9000,9512,1022,-2047,2140
153,-3140,9128,9436,992,-2176,2197
156,-2868,9292,9456,986,-2249,2213
159,-2480,9568,9444,964,-2317,2123
163,-2488,10080,9488,925,-2616,2063
166,-2276,10352,9560,841,-3010,1929
169,-1916,10744,9804,813,-3300,1790
173,-1560,10904,9924,762,-3284,1600
176,-1152,11048,9820,699,-2772,1401
179,-784,11000,10144,626,-2195,1134
183,-472,11012,10280,561,-1847,763
186,48,11136,10092,548,-1211,357
189,456,11144,10236,492,-261,-96
193,572,11116,10264,458,624,-555
197,264,10908,10516,408,1430,-1036
200,-148,10652,10424,407,1865,-1455
203,-1036,10404,10332,425,2059,-1734
207,-1548,10484,10220,386,2101,-1856
210,-2476,10328,9968,305,1749,-1842
213,-2976,10044,9808,210,1344,-1780
217,-3184,9908,9900,95,719,-1683
220,-3252,9544,10164,46,195,-1528
223,-3240,9320,10276,59,-38,-1425
226,-3140,9280,10144,66,-306,-1305
229,-2916,8984,10428,124,-831,-1277
233,-2760,8436,10740,328,-1247,-1223
237,-2744,8164,10384,495,-1781,-1163
240,-2884,8160,10340,652,-2071,-1083
244,-3140,8016,10140,776,-2292,-918
247,-3744,7628,10152,985,-2540,-694
250,-4108,7584,10176,1181,-3000,-419
254,-4160,7864,9944,1360,-3445,-93
257,-4068,7876,9924,1510,-3807,216
260,-3716,8272,9628,1612,-3946,513
263,-3272,8356,9600,1624,-4053,775
267,-2980,8456,9632,1681,-3977,909
270,-2688,8384,9544,1745,-3982,1007
273,-2544,8592,9656,1777,-4012,1012
278,-2416,8672,9944,1845,-4075,986
281,-2580,8996,9912,1865,-4212,920
284,-2332,9056,9856,1883,-4260,870
287,-1876,9296,10180,1910,-4284,804
291,-1592,9412,10072,1936,-4388,639
294,-1392,9572,10132,1916,-4783,291
297,-1048,9732,10144,1851,-5092,-108
301,-536,9868,10044,1813,-4788,-464
304,-532,10104,9976,1720,-4238,-692
307,-872,10400,9568,1521,-3825,-956
311,-1156,11032,9544,1258,-3328,-1184
314,-1388,11228,9736,1023,-2826,-1366
317,-1240,11552,9888,816,-2404,-1575
322,-1188,11576,10040,670,-2168,-1778
325,-1040,11328,10072,547,-2022,-2013
328,-944,11300,10136,453,-1962,-2171
332,-1004,11356,10056,339,-2007,-2325
335,-1224,11056,10128,277,-2342,-2532
339,-1344,10880,9984,222,-2837,-2668
342,-1780,10712,10288,264,-3251,-2772
345,-1764,10412,10060,255,-3366,-2727
349,-2104,10352,9892,217,-3334,-2597
352,-2228,9964,9760,187,-3260,-2398
355,-2420,9624,9760,189,-3190,-2173
358,-2428,9440,9596,196,-2976,-1880
362,-2584,9016,9836,268,-2933,-1601
366,-2492,8808,9788,347,-2871,-1353
369,-2476,8552,9984,503,-2900,-1107
373,-2316,8308,9968,684,-2871,-942
376,-2300,8216,10020,865,-2891,-796
379,-2340,8128,9964,987,-2972,-653
382,-2392,8200,9808,1065,-3144,-543
386,-2592,8224,9724,1152,-3437,-418
389,-2700,8272,9720,1208,-3709,-248
392,-2844,8272,9576,1305,-3873,-28
395,-2924,8276,9548,1398,-3993,251
399,-2892,8272,9652,1465,-3935,599
402,-2984,8492,9696,1551,-4004,897
406,-2720,9088,9800,1629,-4192,1211
410,-2248,9480,9784,1710,-4327,1435
413,-1836,9920,9684,1744,-4286,1570
416,-1096,10412,9640,1776,-3981,1548
420,-628,10756,9708,1726,-3461,1464
423,-324,11148,9440,1637,-2776,1334
426,-220,11388,9396,1502,-2044,1137
430,-144,11552,9600,1378,-1427,962
433,-176,11724,9496,1272,-946,750
436,-348,11820,9660,1130,-485,569
439,-684,12028,9580,966,-124,435
443,-916,12072,9444,818,144,363
446,-1164,12024,9460,634,417,291
450,-1292,11960,9260,417,646,222
453,-1568,11960,9232,176,870,204
456,-1516,11784,9112,-36,986,273
460,-1832,11404,9360,-213,1122,318
463,-1908,11020,9444,-347,1172,377
466,-2228,10736,9504,-388,1207,500
469,-2376,10184,9668,-395,1200,640
473,-2536,9716,9648,-365,1134,789
476,-2512,9492,9664,-307,1131,953
479,-2688,8920,9604,-154,1097,1098
482,-2856,8480,9676,8,1042,1305
486,-2932,8088,9492,182,973,1455
489,-2960,7972,9616,401,932,1654
493,-3000,7792,9596,629,903,1918
496,-2952,7572,9616,864,916,2165
499,-2992,7552,9604,1129,832,2425
503,-3064,7696,9368,1360,608,2712
506,-2960,8008,9516,1572,353,2911
509,-2848,8456,9424,1763,16,3186
512,-2724,8880,9500,1922,-341,3388
516,-2264,9468,9480,1988,-713,3556
519,-1744,10072,9344,2048,-935,3639
522,-1132,10508,9400,2018,-958,3613
525,-548,11016,9492,1947,-757,3459
529,-220,11368,9512,1856,-499,3270
532,-144,11728,9632,1664,-248,2981
536,-324,12200,9532,1458,-82,2759
540,-640,12596,9524,1255,-21,2570
543,-1248,13096,9548,988,-165,2447
546,-1552,13508,9176,600,-436,2366
549,-1552,13768,9388,191,-620,2299
552,-1584,13784,9320,-138,-717,2195
556,-1556,13916,9164,-565,-950,2063
559,-1696,13876,9072,-1016,-1145,1955
562,-1536,13540,9664,-1342,-1056,1822
566,-1736,13460,9256,-1678,-1257,1711
569,-1836,13112,8784,-2099,-1410,1554
573,-1836,12812,8732,-2471,-1427,1515
577,-1928,12124,9228,-2702,-1443,1378
580,-2008,11796,9388,-2807,-1613,1310
584,-2328,11120,9432,-2888,-1885,1255
587,-2456,10712,9384,-2926,-2103,1288
590,-2524,10208,9240,-2963,-2322,1394
594,-2564,9880,9428,-2933,-2495,1524
597,-2428,9456,9492,-2819,-2578,1602
600,-2388,9272,9632,-2711,-2757,1734
604,-2416,8852,9688,-2560,-2931,1817
607,-2340,8464,9596,-2358,-3209,1984
610,-2392,8300,9800,-2233,-3469,2119
614,-2448,8340,9744,-2034,-3726,2237
617,-2276,8324,9752,-1870,-3949,2362
621,-2112,8292,9788,-1732,-4108,2431
625,-1952,8376,9784,-1617,-4189,2468
628,-1796,8496,9740,-1518,-4214,2428
631,-1632,8576,10028,-1417,-4197,2394
635,-1600,8560,9900,-1307,-4165,2317
638,-1468,8892,10052,-1215,-4209,2289
642,-1392,9104,10072,-1139,-4295,2248
645,-1256,9392,10252,-1109,-4350,2199
648,-1028,9612,10360,-1076,-4431,2122
652,-776,9892,10240,-1098,-4401,2010
655,-504,10224,10272,-1136,-4316,1897
658,-144,10548,10408,-1202,-4241,1714
