time,accX,accY,accZ,gyrX,gyrY,gyrZ
3,2868,12932,4440,2017,225,4322
7,5784,14232,2548,1568,-911,3657
10,11000,15260,448,809,-634,1961
13,6220,15716,3688,737,-985,2377
16,1912,12864,5096,788,-87,3081
19,5948,14696,3164,761,-1778,3001
23,12192,15360,4,-647,-2267,278
26,3372,13448,6188,-677,-468,586
29,5612,13488,4792,-681,-1256,586
32,6788,13508,4724,-787,-1017,392
35,5892,13804,4968,-828,-1298,291
39,6316,14236,4680,-865,-1328,200
43,7960,15076,5536,-553,-871,-96
46,8040,15200,3960,-684,-691,-464
49,8984,15684,4028,-863,-956,-1194
52,10360,15540,1944,-1428,-931,-2593
56,10616,15916,1224,-2380,-754,-4165
59,8676,15800,84,-3595,-331,-5547
62,7300,15900,1248,-4692,-66,-6185
65,596,16332,2236,-5460,242,-5048
68,-640,15800,2428,-6178,-425,-3249
72,1464,15888,1576,-7039,-875,-1975
75,3536,15732,1552,-7949,-935,-1429
79,4232,15324,1888,-8618,-704,-1260
83,4328,14892,2452,-9144,-568,-1265
86,3880,14528,2784,-9506,-559,-1225
89,3556,14068,3076,-9771,-761,-1029
92,3584,13720,3696,-10054,-940,-832
96,4124,13428,3980,-10292,-1005,-757
99,4452,12960,4468,-10523,-1110,-750
102,4576,12572,5196,-10750,-1201,-790
106,4880,12324,5660,-10808,-1178,-861
109,5308,11852,6356,-10896,-1324,-972
112,5436,11308,7100,-10744,-1489,-1137
116,5032,11344,6972,-10706,-1701,-1231
119,5412,11100,7508,-10732,-1703,-1364
124,6156,10480,7868,-10532,-1657,-1644
127,6628,10120,8120,-10237,-1541,-2193
130,7320,9580,8584,-9766,-1223,-2736
134,7228,9404,8740,-9382,-769,-3233
137,6280,9100,9048,-8947,-698,-3586
140,6092,9096,9464,-8514,-595,-3765
143,6124,8732,9596,-7931,-414,-3855
147,5608,8972,10120,-7405,-266,-3774
150,5272,8636,10540,-6739,-407,-3538
153,1776,10972,8388,-6977,-1968,-2888
156,7328,6028,12992,-4808,-991,-2519
160,7128,8388,9864,-3922,879,-2621
163,6740,9008,9444,-3458,395,-2867
167,5500,7816,10096,-2706,468,-2919
170,4312,8276,10528,-1737,581,-2596
174,3480,9432,9628,-1048,215,-2121
177,4232,9692,9672,-472,-82,-1774
180,5220,9716,9708,124,92,-1667
183,5848,9880,9352,584,326,-1762
186,6036,10300,8952,926,518,-1937
190,5828,10516,8740,1203,723,-2125
193,5640,10876,8304,1421,940,-2230
196,5460,11528,7544,1493,994,-2314
199,5140,11972,7032,1435,950,-2412
203,4860,12464,6608,1305,910,-2387
207,4440,12736,6328,1056,805,-2306
210,4324,13096,6172,863,655,-2202
213,4068,13296,5988,705,571,-2048
217,4016,13456,5972,575,491,-1939
220,4160,13736,5652,369,364,-1878
223,4284,13828,5256,147,301,-1862
226,4536,14084,4860,-151,211,-1928
229,4616,14036,4816,-423,184,-2034
233,4476,14100,5052,-611,224,-2078
236,4160,14200,4976,-824,285,-2111
239,4052,14136,5168,-918,297,-2035
242,4032,13956,5280,-887,351,-1900
245,3884,13808,5492,-681,354,-1740
250,4068,13716,5584,-561,402,-1608
253,4072,13888,5428,-548,445,-1475
256,4244,13844,5424,-659,436,-1361
259,4216,13848,5152,-794,557,-1258
262,4028,13620,5204,-1001,555,-1080
266,3988,13324,5764,-1122,479,-897
269,4020,13216,5976,-1058,424,-685
272,4080,13136,6156,-984,414,-463
275,4260,13236,6196,-955,448,-279
278,4588,13248,5908,-969,578,-193
281,4692,13280,5732,-1035,594,-205
285,4840,13380,5888,-1152,641,-344
288,5132,13556,5740,-1241,736,-434
291,4976,13480,5800,-1321,873,-525
295,4564,13564,6028,-1422,871,-527
298,4368,13420,6196,-1502,733,-446
302,3908,13204,6348,-1518,514,-304
305,3744,13204,6304,-1535,332,-86
308,3796,13016,6424,-1566,66,64
311,4224,12952,6596,-1552,-127,153
314,4508,12832,6564,-1456,-195,159
318,4736,12792,6792,-1371,-143,121
321,4772,12680,6868,-1254,-109,98
324,4804,12672,6840,-1117,79,33
327,4868,12684,6636,-1061,175,-88
330,4692,12660,6388,-1065,149,-264
333,4764,12652,6268,-1051,69,-436
338,4692,12376,6688,-945,140,-552
341,4584,12400,6636,-783,160,-605
344,4348,12300,6732,-712,177,-595
347,4292,12316,6916,-549,125,-623
350,4320,12264,7040,-339,220,-636
353,4456,12344,6956,-168,411,-627
356,4104,12424,7036,5,551,-454
359,3808,12504,7144,114,647,-282
363,3784,12540,7236,191,680,-52
366,3864,12732,6992,173,678,175
369,3988,12888,6644,153,522,326
372,4276,13164,6640,72,514,389
375,4512,13260,6464,-3,595,390
379,4660,13252,6304,-92,671,314
382,4608,12896,6396,-115,736,224
385,4644,12788,6392,-140,811,199
389,4648,12708,6576,-132,858,84
392,4408,12464,6632,-76,795,93
395,4220,12400,6756,-32,718,91
398,4172,12264,6652,5,684,91
401,4288,12140,6400,61,642,40
404,4736,12160,6504,87,688,-58
407,4968,12176,6572,49,805,-206
410,4888,12240,6508,-10,854,-291
413,4504,12212,6816,-39,811,-346
416,4304,12084,7224,-11,565,-296
419,4132,12080,7360,77,291,-218
423,4392,12008,7280,178,222,-148
426,4664,11952,7196,254,190,-196
430,4860,11868,7088,335,213,-283
433,5128,11940,7212,507,298,-429
436,5044,11728,7320,670,441,-537
439,5092,11636,7700,867,627,-590
442,4824,11620,7664,1038,819,-630
445,4452,11448,7880,1359,913,-586
448,4244,11216,8144,1754,962,-481
452,4368,11020,8016,2189,884,-410
455,4496,10952,7956,2649,894,-416
458,4632,11916,7736,3016,1070,-474
461,5204,16956,5720,2759,1804,-651
466,4800,17184,6048,2384,2648,-652
469,4560,16224,5848,2016,2727,-601
472,4528,14572,5416,1719,2305,-694
475,3852,13992,5288,1504,1723,-710
479,3236,13232,5552,1350,1252,-600
482,2756,12588,5704,1248,1045,-426
485,2748,12544,5628,1179,1180,-280
488,2992,12508,5612,1100,1383,-77
491,3324,12864,5572,986,1605,73
495,3812,13004,5548,843,1759,173
498,4292,13196,5844,704,1786,196
501,4560,13144,6196,618,1748,186
504,4712,13084,6428,571,1659,83
508,4780,12992,6624,591,1671,53
511,4812,12860,6696,589,1788,-19
515,4944,12764,6664,598,1987,-92
518,4776,12828,6480,596,2200,-127
521,4576,12724,6500,559,2379,-156
524,4304,12720,6184,582,2503,-187
527,4344,12844,6484,561,2568,-191
530,4468,12784,6480,581,2704,-205
534,4516,12680,6528,583,2784,-259
537,4268,12772,6536,629,2906,-265
540,3960,12852,6608,627,2803,-287
543,3688,12832,6596,598,2578,-278
546,3584,13008,6512,612,2284,-249
551,3628,12932,6572,589,2012,-179
554,3784,12880,6488,603,1768,-212
557,3784,12820,6612,625,1560,-168
560,4008,12764,6552,631,1531,-192
563,3888,12928,6440,599,1459,-133
