,time,accX,accY,accZ,gyrX,gyrY,gyrZ
4505,1,1520,12248,7780,-319,-32,70
4506,6,1644,12212,7896,-293,-42,82
4507,9,1708,12188,8036,-253,13,41
4508,12,1684,12148,7892,-215,27,46
4509,15,1664,12236,8012,-167,72,19
4510,18,1608,12356,7752,-139,92,23
4511,58,1568,12176,7564,-250,-24,124
4512,62,1592,12256,7724,-247,19,143
4513,65,1672,12228,7640,-272,-31,138
4514,68,1696,12232,7812,-259,-24,110
4515,71,1856,12336,7756,-240,10,104
4516,74,1956,12304,7844,-243,88,36
4517,77,2092,12280,7828,-215,235,-7
4518,81,1996,12280,7836,-201,322,-31
4519,84,1672,12244,7884,-197,349,-52
4520,87,1684,12340,7676,-148,256,-63
4521,90,1700,12352,7540,-186,263,-85
4522,94,1564,12296,7564,-216,277,-105
4523,98,1536,12200,7724,-203,296,-83
4524,101,1492,12236,7500,-203,309,-107
4525,104,1596,12188,7664,-186,367,-80
4526,107,1416,12296,7620,-197,377,-55
4527,116,1296,12336,7448,-241,337,-9
4528,119,1072,12424,7388,-262,314,35
4529,123,1244,12336,7484,-290,251,79
4530,126,1260,12376,7492,-331,212,107
4531,129,1264,12452,7788,-328,153,171
4532,132,1316,12360,7736,-354,29,194
4533,136,1596,12368,7788,-333,9,190
4534,139,1620,12352,7812,-326,-40,157
4535,143,1440,12256,7976,-275,-140,172
4536,146,1364,12232,8004,-271,-211,153
4537,149,1544,12260,7820,-221,-267,202
4538,152,1572,12340,7852,-231,-305,189
4539,156,1368,12308,7764,-198,-391,211
4540,159,1360,12268,7820,-163,-356,172
4541,162,1252,12284,7804,-164,-547,224
4542,171,1424,12336,7916,-138,-801,283
4543,174,1532,12344,7900,-132,-832,277
4544,178,3432,13740,8964,98,-902,-36
4545,182,8716,14848,5828,548,-616,-2483
4546,185,2056,12968,6828,295,1986,-2646
4547,188,-2588,11904,7128,115,690,-1765
4548,192,2904,12660,5364,29,-596,-2948
4549,195,-800,12752,6780,39,743,-2425
4550,198,2984,13024,7116,26,256,-2920
4551,201,212,12340,7452,-218,955,-2368
4552,204,676,12284,7668,-166,940,-2178
4553,208,-236,12324,6156,-185,815,-2086
4554,211,296,12316,5512,-186,727,-2475
4555,214,1492,13208,7024,-218,1176,-2486
4556,224,4380,13044,7404,-50,2518,-4419
4557,227,3600,12744,7460,-220,3468,-4624
4558,231,2348,12832,7800,65,3487,-4964
4559,234,2304,13192,6652,-106,3753,-5274
4560,237,-1956,12840,7620,-113,3625,-4766
4561,241,2584,12532,6920,-133,3041,-5128
4562,244,-248,12692,8132,-214,2976,-4759
4563,247,1236,12124,5916,-318,2507,-5335
4564,251,1828,12216,7344,-251,2455,-5429
4565,254,-144,13004,7264,-202,2151,-5435
4566,257,-556,12956,8096,-350,1813,-5033
4567,262,-1032,12340,7892,-193,851,-4678
4568,265,768,12672,8244,-229,227,-4146
4569,268,1444,12776,8696,-251,-461,-3858
4570,277,-44,12080,8264,-117,-351,-3902
4571,281,888,11996,8492,-13,-873,-4333
4572,284,1020,11876,7080,-68,-489,-4528
4573,287,-104,12460,8836,85,-826,-4515
4574,290,788,12524,7508,172,-1380,-4989
4575,294,1288,12904,7808,293,-1473,-5496
4576,297,2716,12188,8448,417,-1409,-5998
4577,300,64,12408,8056,491,-1132,-6016
4578,305,168,12200,8336,543,-1402,-6219
4579,308,-88,12748,8376,604,-1877,-5930
4580,311,1440,13128,8844,701,-1997,-6178
4581,314,4864,11112,7160,423,-1308,-7071
4582,318,1552,12468,7624,514,-341,-7387
4583,321,2580,11428,7008,816,142,-8124
4584,330,908,11124,6768,702,74,-7555
4585,333,468,12124,8508,637,1643,-7010
4586,336,-3076,11724,8712,589,933,-5653
4587,340,-1012,12424,8024,643,266,-5547
4588,343,152,11980,9192,409,659,-4952
4589,346,-668,12120,8308,403,898,-4839
