,time,accX,accY,accZ,gyrX,gyrY,gyrZ
1500,2,1840,12532,7280,-258,-115,59
1501,9,1984,12504,7280,-312,-129,90
1502,12,1816,12564,7376,-292,-131,137
1503,15,1828,12520,7284,-312,-101,146
1504,19,1748,12416,7388,-323,-68,183
1505,22,1824,12520,7456,-305,-25,228
1506,25,1752,12400,7580,-288,-39,230
1507,28,1848,12460,7736,-278,-72,279
1508,32,1928,12396,7512,-286,-107,263
1509,35,2004,12432,7548,-272,-192,251
1510,39,2024,12572,7672,-251,-249,251
1511,42,2080,12404,7552,-240,-225,263
1512,45,1996,12444,7340,-250,-258,265
1513,48,1876,12380,7252,-207,-277,274
1514,52,2056,12504,7388,-250,-251,253
1515,55,2488,12460,7488,-246,-126,248
1516,61,2176,12492,7436,-248,-82,177
1517,65,2216,12412,7428,-225,-20,168
1518,68,2128,12524,7280,-275,-18,146
1519,71,2172,12480,7504,-263,3,151
1520,75,2124,12380,7288,-287,97,168
1521,78,2112,12488,7392,-260,143,146
1522,81,2152,12536,7444,-270,163,146
1523,85,2112,12496,7492,-277,126,109
1524,88,2100,12540,7332,-271,29,102
1525,91,2144,12380,7484,-301,-15,100
1526,94,2072,12376,7560,-268,43,75
1527,97,2204,12476,7588,-290,4,99
1528,100,2168,12512,7480,-265,19,79
1529,103,2212,12460,7532,-276,5,27
1530,106,2172,12436,7544,-253,26,70
1531,110,2204,12464,7520,-245,48,47
1532,116,1956,12520,7600,-236,-35,40
1533,120,2044,12440,7528,-197,13,15
1534,124,2112,12444,7448,-228,15,15
1535,127,1964,12500,7372,-205,12,26
1536,130,1972,12512,7384,-199,27,26
1537,133,2156,12436,7624,-247,-28,23
1538,136,2016,12492,7584,-226,-25,14
1539,139,1740,12416,7488,-233,-80,29
1540,142,1704,12380,7484,-199,-18,70
1541,146,1812,12528,7256,-210,-4,128
1542,149,1900,12604,7388,-246,26,173
1543,152,1968,12500,7356,-234,42,183
1544,155,1848,12396,7280,-282,29,189
1545,158,2128,12436,7192,-291,11,187
1546,163,2228,12528,7276,-286,11,173
1547,166,2272,12488,7412,-296,41,156
1548,172,1992,12528,7444,-278,49,117
1549,176,2064,12528,7404,-285,76,125
1550,179,2020,12528,7244,-306,31,141
1551,182,2084,12508,7196,-324,21,138
1552,185,1884,12540,7412,-340,-17,163
1553,188,1844,12512,7544,-356,-6,179
1554,192,1792,12416,7380,-360,-51,212
1555,195,2052,12492,7304,-381,-22,230
1556,198,2108,12496,7324,-382,-26,200
1557,201,2052,12512,7404,-398,-144,210
1558,205,2064,12504,7520,-388,-232,185
1559,209,2272,12452,7640,-385,-258,153
1560,212,2252,12440,7540,-355,-291,126
1561,215,2320,12420,7672,-356,-337,105
1562,219,2308,12496,7548,-326,-391,74
1563,225,2236,12460,7352,-298,-276,41
1564,229,2436,12496,7452,-289,-238,29
1565,232,2548,12416,7532,-271,-186,-67
1566,235,2436,12508,7420,-287,-104,-70
1567,238,2672,12484,7308,-292,59,-138
1568,241,2516,12540,7236,-304,172,-202
1569,246,2476,12456,7288,-322,257,-264
1570,249,2752,12500,7184,-378,429,-316
1571,252,2672,12496,7120,-372,629,-363
1572,255,2712,12528,6888,-438,839,-427
1573,259,2656,12440,7064,-501,897,-483
1574,262,2628,12488,7240,-521,1148,-536
1575,265,2508,12516,7380,-563,1221,-620
1576,269,2248,12356,7400,-553,1175,-636
1577,272,1880,12500,7236,-580,1110,-653
1578,279,1616,12512,7780,-568,572,-549
1579,282,2740,12376,7764,-533,904,-578
1580,285,2496,12528,7684,-511,1261,-590
1581,290,2140,12508,7424,-503,1370,-627
1582,293,1744,12524,7164,-525,1287,-622
1583,296,1612,12512,7356,-546,960,-626
1584,299,2696,12512,7188,-566,1325,-610
1585,303,-32768,24172,19760,1818,-894,5056
1586,306,-18048,7548,11336,2603,-16424,10374
1587,310,22952,11308,856,1086,-11236,6558
1588,313,9056,12548,6436,620,-4564,3813
1589,316,7160,12304,7128,314,-2726,2750
1590,320,1548,12664,7764,410,-2066,3092
1591,323,-7420,14308,9440,775,-1996,3251
1592,331,-208,12556,6876,1102,-5974,4211
1593,334,3404,13216,8748,1318,-6507,4314
1594,337,8500,12648,7304,1578,-6595,4909
1595,341,5300,13284,6732,1791,-5194,5011
1596,344,-3328,12716,9932,2636,-5364,6594
1597,347,4020,11920,6992,2535,-6217,6814
1598,351,5708,12144,6228,2640,-5858,6499
1599,354,3664,12260,6288,2476,-5144,5978
1600,357,-860,12012,6948,2576,-5410,6919
1601,361,888,11740,7076,2878,-5607,7452
1602,364,2172,11540,7548,3012,-5985,7906
1603,367,5368,12360,7088,3105,-5280,7734
1604,371,6320,12808,7076,3047,-4174,7228
1605,375,12300,12152,4124,2916,-4043,6797
1606,398,6072,12220,5936,2162,4068,2410
1607,401,4008,12844,7144,2389,4778,2304
1608,404,4376,13292,7640,2630,4688,2744
1609,408,4840,11944,5640,2980,5113,3148
1610,411,720,12824,9104,3399,4215,3953
1611,414,-640,12460,10284,4201,3414,5296
1612,419,5568,11912,6280,4449,3482,5584
1613,422,2888,12416,8532,4545,3596,5750
1614,425,7172,12524,7692,4376,5311,4893
1615,428,5868,12372,7060,4373,6193,5043
1616,432,-684,12988,8448,4968,6437,5797
1617,435,-2452,12076,9936,5706,5343,7013
1618,438,3360,11940,7864,5848,5599,8040
1619,442,5164,11688,6516,5946,5670,7897
1620,449,4304,12868,6948,5332,6527,6675
1621,452,3736,12228,5964,5008,7257,6100
1622,455,7852,12116,4320,4789,8132,5537
1623,460,6424,13572,3744,3813,8722,3562
1624,463,1008,12256,5668,3587,7424,3556
1625,466,2760,12500,4216,2976,6446,2855
1626,469,5036,12736,3384,2145,6467,1555
1627,473,11528,12316,1636,1281,6590,294
1628,476,-5160,12744,7568,1310,5672,793
1629,479,2780,12540,5780,642,4696,-371
1630,483,1852,12064,5840,69,3999,-833
1631,486,-2316,12732,8552,272,2718,-294
1632,489,-428,12680,8220,528,1718,202
1633,492,864,12692,7964,679,1139,518
1634,499,3056,12844,7112,837,266,704
1635,503,3892,13024,6608,861,38,637
1636,506,4540,12956,6140,822,48,495
1637,510,5328,12940,5784,773,361,324
1638,513,5384,13060,5700,677,640,114
1639,516,5580,13084,5320,518,1047,-97
1640,519,5852,13112,5140,346,1537,-364
1641,522,5492,13128,5228,213,2100,-599
1642,526,4744,13116,4904,8,2455,-753
1643,529,4276,13104,4792,-208,2819,-829
1644,532,4196,13216,4976,-418,3353,-877
1645,535,3752,13168,5316,-572,3778,-938
1646,539,2812,13084,5900,-675,3926,-874
1647,542,2428,12996,6516,-702,4026,-763
1648,546,2440,12860,6916,-692,4066,-625
1649,553,3600,12876,6936,-574,4379,-557
1650,556,3600,12952,7136,-489,4704,-599
1651,560,2976,12756,7124,-438,5018,-581
1652,563,1768,12936,6952,-349,4872,-502
1653,566,1192,12984,6948,-342,4516,-323
1654,570,1300,13012,6680,-327,4043,-98
1655,573,1760,12928,6940,-285,3646,50
1656,576,1768,12868,7028,-252,3237,148
1657,579,1972,12960,7132,-208,2832,256
1658,583,2212,12880,6872,-153,2454,322
1659,587,1768,12916,6860,-136,2202,408
1660,590,1116,12976,6676,-133,1847,597
1661,593,860,13000,6408,-180,1291,818
1662,597,936,13188,6288,-275,732,1026
1663,600,940,13128,6408,-344,316,1226
1664,607,12,13080,6656,-446,-585,1865
1665,610,-140,12856,6736,-476,-739,2246
1666,613,844,13488,6844,-540,-884,2454
1667,616,-32,13248,7516,-518,-1103,2841
1668,620,100,13240,7752,-455,-1432,3227
1669,623,1468,13364,7128,-546,-1650,3313
1670,626,13684,12068,-448,-2754,-565,375
1671,631,32767,13352,-15332,-8576,6637,-8825
1672,634,27148,13188,-4576,-10945,16994,-14059
1673,638,7712,13808,9524,-10763,15643,-16765
1674,641,-8880,19032,9788,-10081,12270,-15421
1675,645,-15824,25932,5396,-10671,5973,-11965
1676,648,-16812,27556,4788,-12393,-607,-7750
1677,655,-3996,25568,3732,-15424,-8787,-3284
1678,659,740,23100,3792,-16606,-9893,-2620
1679,662,1040,20700,4348,-17167,-10223,-2309
1680,666,0,17276,5504,-17026,-10147,-1849
1681,669,-512,14208,6212,-16336,-9912,-1395
1682,673,-472,10168,6796,-15427,-9625,-1077
1683,677,-916,6884,6728,-14338,-9770,-887
1684,680,-588,5956,6960,-13256,-9582,-685
1685,684,-588,4780,7944,-12205,-9363,-641
1686,687,784,3384,8568,-11031,-8689,-642
1687,690,1968,3140,8780,-10027,-7869,-841
1688,694,3828,2296,9660,-8984,-6708,-1354
1689,697,5176,1828,10196,-7892,-5725,-2082
1690,704,5108,3976,11580,-5742,-4049,-3522
1691,707,4720,4380,12144,-4714,-3711,-3959
1692,711,4988,4776,11924,-3743,-3197,-4381
1693,715,5432,4956,11740,-2922,-2854,-4826
1694,719,5304,5172,11308,-2199,-2578,-5290
1695,722,5240,5512,11088,-1673,-2336,-5676
1696,725,5172,5884,10912,-1204,-2218,-5901
1697,729,5828,6068,11272,-790,-1516,-6019
1698,732,6580,5992,11620,-388,-853,-6184
1699,736,7228,6288,11772,84,-328,-6601
1700,739,8332,6636,11820,578,709,-7166
1701,742,8396,7120,11524,940,1986,-7801
1702,745,7928,7708,10976,1246,2748,-8409
1703,749,6516,8796,10952,1643,3413,-8716
1704,756,4024,10644,10492,2317,3514,-8396
1705,760,2916,11084,10288,2620,3159,-7588
1706,763,1232,11548,10428,2912,1660,-6585
1707,767,1416,11600,10472,3274,1149,-5531
1708,770,1952,11360,9992,3596,416,-4684
1709,773,2668,11544,9160,3865,289,-3996
1710,777,2088,11744,8816,4095,356,-3272
1711,780,1356,11692,8480,4267,372,-2561
1712,783,1000,11752,8300,4425,429,-1923
1713,786,1184,11936,7612,4605,648,-1510
1714,790,1700,12128,7316,4742,922,-1364
1715,793,1920,12732,6832,4747,1158,-1398
1716,796,1912,13440,6700,4642,1424,-1448
1717,801,1664,14624,6548,4499,1702,-1457
1718,824,-128,15556,5484,1569,1799,-1856
1719,827,164,14640,5612,1224,1462,-1865
1720,830,588,13936,5692,912,937,-1917
1721,833,736,13612,5968,681,829,-1899
1722,837,1036,13696,5980,384,850,-1958
1723,840,-576,15504,5892,-98,933,-1636
1724,844,-3512,15908,7156,-347,6,-512
1725,847,1264,14364,7372,-747,-493,-243
1726,851,1924,13548,8516,-646,-780,-75
1727,854,2372,13396,8472,-637,-1038,-190
1728,857,-476,12840,8344,-215,-2150,551
1729,861,1372,12648,7820,-48,-2626,735
1730,864,-520,12760,7852,394,-3804,1365
1731,867,2076,12988,6984,361,-3821,1394
1732,874,3008,12652,7612,256,-3153,1175
1733,877,3644,12468,8108,291,-2798,986
1734,881,3796,12480,7988,358,-2406,767
1735,884,3896,12192,8452,410,-2113,551
1736,888,4288,12080,8808,607,-2153,250
1737,891,4180,12260,8648,734,-2307,-90
1738,895,3352,12488,8400,841,-2237,-300
1739,898,3208,12352,8064,908,-2136,-430
1740,901,3000,12484,7904,909,-2130,-578
1741,905,2300,12592,7740,924,-2425,-647
1742,908,1768,12528,7588,916,-2719,-723
1743,911,1360,12492,7544,934,-3079,-650
1744,914,1020,12448,7656,941,-3377,-585
1745,918,800,12288,7876,995,-3522,-468
1746,925,588,12548,7716,1032,-3948,-128
1747,929,2064,19272,11048,1987,-5074,-583
