,time,accX,accY,accZ,gyrX,gyrY,gyrZ
1583,2,-1728,13248,6552,-296,-222,290
1584,5,-1656,13180,6424,-239,-118,256
1585,8,-1600,13340,6536,-184,-47,198
1586,12,-1584,13244,6424,-141,72,139
1587,15,-1836,13240,6372,-100,80,89
1588,170,-792,10544,9652,-3343,5823,-1009
1589,173,-1068,13912,11460,-2723,7108,-998
1590,177,-2992,12864,7660,-2668,6609,-872
1591,180,-1988,13884,8228,-2583,7073,-771
1592,184,-720,14232,9164,-2448,7582,-769
1593,187,-2328,13092,8388,-1789,7218,-847
1594,190,-2704,13764,6140,-1898,7497,-785
1595,195,-2680,13380,6236,-1852,7459,-800
1596,198,-3252,13784,5952,-2261,7261,-546
1597,201,-2460,13792,7368,-2140,7098,-503
1598,205,-3652,13472,5800,-2482,6986,-228
1599,208,-3068,13764,5484,-2635,7072,-115
1600,211,-2596,13652,7000,-2604,7180,26
1601,215,-2868,13076,6468,-2564,6678,57
1602,263,-1516,12876,8548,-1852,6489,1256
1603,267,-5996,12280,1964,-3076,5121,1819
1604,270,-4440,12908,8308,-2888,6010,2278
1605,273,-344,13372,7892,-2254,6226,1879
1606,278,-2460,12680,5044,-2298,6252,1642
1607,281,-1988,13796,7216,-2126,6418,1704
1608,284,-4048,13580,5316,-1836,5898,1462
1609,288,-2668,13512,6328,-1734,5998,1375
1610,291,-4616,13088,4108,-1959,5146,1419
1611,294,-6152,13008,4036,-2134,4866,1766
1612,298,-3832,12896,6148,-2457,4227,2216
1613,301,-4956,12924,6048,-2526,3871,2688
1614,305,-3296,12840,6532,-2530,3609,2940
1615,317,-4612,13404,5216,-1961,2996,2618
1616,321,-2540,13240,7416,-1907,2811,2807
1617,325,-1324,13320,6384,-1732,2705,2465
1618,328,-1744,13120,6256,-1794,2912,2553
1619,331,-4316,13508,5656,-2186,1993,3180
1620,335,-5908,13136,5220,-2141,1225,3659
1621,338,-1632,12172,9292,-2187,1093,4229
1622,341,-5976,13684,5184,-2001,281,4444
1623,345,-5788,13392,5256,-2171,138,4661
1624,348,-2412,13492,6516,-1743,337,4146
1625,351,-4216,13600,5336,-1671,492,3982
1626,355,-3304,13200,5896,-1679,219,4021
1627,358,-5292,13560,5560,-1701,-453,4523
1628,361,-3076,13680,8296,-1238,-43,4344
1629,514,612,13688,3496,5721,-15694,5498
1630,518,1432,13816,4136,5573,-15453,5014
1631,521,824,14156,5612,5708,-15044,4746
1632,524,-688,14272,5624,5964,-15062,4647
1633,528,1156,13276,4452,6033,-14729,4298
1634,531,684,13884,3684,5693,-14516,3977
1635,535,1012,12828,3964,5438,-14220,3681
1636,539,1296,12788,4132,5276,-13745,3397
1637,542,1936,12336,3296,4614,-13495,3146
1638,545,2044,13148,4612,4167,-12727,2955
1639,549,1612,12772,3704,3701,-11941,2839
1640,552,1536,12860,4064,3630,-11604,2597
1641,556,1736,12692,6112,3465,-10841,2454
1642,559,2472,13432,5076,3197,-10343,2354
1643,699,2528,13648,6804,-1298,1590,-5765
1644,703,3872,13664,6236,-1219,2207,-6258
1645,707,1688,13348,5200,-1337,2829,-6437
1646,710,1736,13332,6256,-1305,3325,-6558
1647,714,716,13272,6124,-1378,3184,-6330
1648,717,3848,12700,7152,-1345,3228,-6298
1649,721,1208,12472,6160,-1318,4062,-6271
1650,724,-1104,12668,6264,-1515,4081,-5559
1651,727,192,12636,6936,-1413,3652,-4830
1652,731,1152,13420,6564,-1405,4588,-4732
1653,734,584,13504,6160,-1554,4978,-4437
1654,737,1260,13768,6044,-1552,5130,-4406
1655,741,4428,12984,6700,-1582,5502,-4523
1656,781,-3540,12632,7380,-2146,12321,-4853
1657,785,-2316,13884,7016,-2161,12712,-4285
1658,788,2904,11544,3340,-2835,12674,-5074
1659,792,4920,13044,4700,-3495,16461,-6155
1660,796,3136,11700,4996,-3708,17473,-7034
1661,799,-180,13240,7264,-3661,19532,-7079
1662,803,-4740,13672,6940,-3276,19356,-5933
1663,806,-3156,13808,6248,-3245,18910,-5185
1664,810,-2600,14060,6792,-3118,19354,-4670
1665,813,-1544,12780,4092,-3321,18119,-4594
1666,816,2744,14804,5776,-3910,19178,-5413
1667,820,-2592,13376,8020,-3130,18002,-4797
1668,823,-2932,15288,7900,-2915,17586,-4186
1669,864,-3708,14076,4440,-4023,8066,-834
1670,867,-2640,15772,6904,-4249,7980,-513
1671,871,-2536,13840,5108,-4503,6883,-619
1672,875,-2880,12812,5268,-4419,6337,-470
1673,878,-2972,12708,7916,-3910,6311,-284
1674,882,-3588,11920,4460,-3977,5039,-284
1675,885,-3284,12724,6820,-3505,5434,-118
1676,888,-3140,13424,5712,-3646,4496,-24
1677,892,-1296,14556,8564,-2820,5391,137
1678,895,-1272,13520,4948,-2103,3963,-68
1679,898,1332,15744,9972,-1886,4909,-212
1680,902,-1140,13432,2816,-1795,3278,-642
1681,905,-2000,13728,8256,-926,4020,-510
1682,909,-2232,15288,6264,-944,3195,-399
1683,949,-2604,13416,5696,-451,509,-311
1684,952,-2712,13380,5528,-488,457,-277
1685,956,-2928,13344,5772,-599,365,-204
1686,959,-3100,13324,5900,-615,98,-180
1687,963,-2816,13356,6064,-598,-108,-115
1688,966,-2532,13308,6124,-579,-188,-108
1689,970,-2648,13268,6420,-542,-206,-38
1690,973,-2596,13300,6444,-476,-129,-4
1691,976,-2636,13324,6528,-402,-97,21
1692,980,-2616,13340,6264,-364,-114,46
1693,983,-2484,13380,6160,-356,-179,64
1694,986,-2656,13304,6168,-343,-337,72
1695,989,-2664,13364,6004,-356,-365,85
1696,993,-2340,13248,5888,-349,-359,101
1697,1016,-1820,13396,5616,-799,18,-347
1698,1020,-1700,13440,5892,-835,220,-398
1699,1023,-1656,13532,5916,-892,384,-469
1700,1026,-1416,13456,5952,-926,675,-596
1701,1030,-1568,13500,5804,-957,1030,-671
1702,1033,-1456,13740,5560,-1043,1459,-750
1703,1037,-1224,13828,5444,-1160,1812,-883
1704,1040,-972,13928,5532,-1315,2192,-1082
1705,1043,-972,14028,5724,-1440,2760,-1222
1706,1048,-988,14192,5384,-1597,3367,-1399
1707,1051,724,12540,2332,-2489,2933,-2385
1708,1055,1916,15532,6564,-2879,4861,-3152
1709,1058,-920,16816,5980,-3072,5109,-3355
1710,1065,-9332,20612,1760,-5796,461,-1079
1711,1069,-6556,20752,1144,-7447,-1647,-377
1712,1072,-3092,19516,2228,-8710,-2698,-250
1713,1075,-2220,18304,3448,-9482,-3585,-295
1714,1079,-2816,16512,3928,-9861,-4543,-257
1715,1082,-3300,15480,4116,-10113,-5245,-117
1716,1086,-3684,13980,4660,-10063,-5807,103
1717,1090,-3312,12536,5668,-9732,-5895,409
1718,1094,-3168,11636,6620,-9207,-6179,598
1719,1097,-2696,10688,6884,-8638,-6324,800
1720,1100,-2264,10464,7340,-7966,-6165,950
1721,1104,-1848,9968,8160,-7207,-6000,1080
1722,1107,-1196,9448,8816,-6161,-5565,1177
1723,1114,-828,9104,10824,-3374,-4869,1254
1724,1118,320,10720,8664,-2887,-4092,991
1725,1121,-236,9764,9704,-2223,-3851,887
1726,1124,-1032,9496,10444,-1336,-3720,915
1727,1128,-1076,9472,10088,-671,-3345,1034
1728,1132,-960,9080,9352,-117,-3003,1141
1729,1135,-680,9092,9268,361,-2537,1198
1730,1139,-472,9388,8792,620,-1888,1279
1731,1142,-612,10004,8676,757,-1059,1345
1732,1145,-672,10480,8336,673,-279,1362
1733,1149,-968,10824,7996,488,229,1349
1734,1152,-992,11020,8124,378,615,1303
1735,1155,-1248,10752,8524,411,859,1248
1736,1158,-1516,10556,8580,573,1027,1302
1737,1165,-2096,10616,8452,989,1238,1442
1738,1168,-2176,11116,8088,1202,1323,1478
1739,1172,-2224,11308,7992,1299,1305,1525
1740,1176,-2336,11364,7976,1409,1412,1502
1741,1180,-2460,11476,7708,1479,1707,1517
1742,1183,-2324,11580,7448,1517,2028,1489
1743,1186,-2460,11724,7312,1566,2249,1438
1744,1190,-2664,11896,7024,1562,2272,1412
1745,1193,-2760,11900,6572,1509,2369,1371
1746,1196,-2772,11900,6432,1403,2554,1290
1747,1200,-2748,11796,6324,1229,2743,1181
1748,1203,-2836,11840,6404,1082,3083,1084
1749,1206,-3048,12036,6664,939,3406,973
1750,1210,-3084,12092,6556,828,3757,906
1751,1218,-3168,12252,6508,557,4224,789
1752,1221,-3028,12648,6816,531,4411,688
1753,1224,-2852,12872,6876,542,4678,516
1754,1228,-2804,13360,6656,506,4729,323
1755,1231,-2992,13372,6720,438,4674,180
1756,1234,-3320,13508,6704,338,4491,74
1757,1237,-3556,13648,6360,214,4305,-24
1758,1241,-3664,13480,6384,21,4100,-127
1759,1244,-3732,13400,6236,-129,3841,-161
1760,1247,-3676,12884,6288,-254,3510,-155
1761,1251,-3596,12680,6464,-294,3196,-88
1762,1254,-3240,12704,6728,-234,2994,-84
1763,1257,-3288,12384,6792,-161,2972,38
1764,1262,-3276,12240,6328,-149,2892,97
1765,1268,-3440,12420,6428,-274,2398,339
1766,1272,-3148,12508,6452,-349,2357,430
1767,1275,-2780,12528,6688,-361,2461,607
1768,1278,-2484,12520,6764,-258,2671,720
1769,1282,-2456,12540,6936,-152,2826,788
1770,1285,-2136,12844,6760,-65,2872,800
1771,1288,-2296,13160,6488,-92,2768,748
1772,1292,-2448,13388,6336,-130,2567,823
1773,1295,-2680,13488,6548,-120,2242,821
1774,1298,-2456,13728,6264,-144,1941,845
1775,1303,-2164,13880,6068,-179,1804,792
1776,1306,-1960,13600,6472,-137,1601,759
1777,1309,-1724,13496,6632,-87,1527,637
1778,1313,-1680,13648,6532,-24,1553,534
1779,1320,-2252,13612,6144,-119,1494,320
1780,1323,-2420,13580,6200,-170,1373,337
1781,1326,-2448,13512,6196,-218,1178,382
1782,1330,-2320,13268,6084,-322,989,436
1783,1333,-2244,13208,6128,-355,836,443
1784,1336,-2068,13180,6304,-303,813,428
1785,1339,-2044,12964,6440,-214,1008,382
1786,1343,-2080,12868,6616,-35,1121,364
1787,1347,-2192,12728,6528,93,1122,369
1788,1350,-2356,12780,6400,243,1181,403
1789,1354,-2516,12616,6304,278,1184,419
1790,1357,-2556,12832,6432,342,1246,470
1791,1360,-2468,12752,6548,419,1275,569
1792,1363,-2436,12676,6980,540,1317,625
1793,1370,-2272,12636,7164,816,1338,732
1794,1374,-2468,12528,7176,967,1372,782
1795,1377,-2328,12528,7316,1107,1366,802
1796,1380,-2196,12732,7452,1314,1449,777
1797,1384,-1988,12516,7628,1539,1465,739
1798,1388,-1976,12588,7604,1775,1563,708
1799,1391,-2304,12392,7672,2041,1591,705
1800,1395,-2404,12304,7628,2225,1632,699
1801,1398,-2228,12572,7480,2422,1748,613
1802,1401,-392,15920,6372,2297,1869,121
1803,1404,-1396,17472,5944,1961,1586,-307
1804,1408,-4436,15896,5244,1552,446,-341
1805,1411,-4908,14948,5152,1246,-625,-192
1806,1415,-4128,13584,5000,1016,-997,46
1807,1438,-3284,13404,5480,217,-2108,510
1808,1442,-2660,13084,5972,155,-2237,555
1809,1445,-2372,12992,6172,142,-2256,527
1810,1448,-2032,12924,6500,137,-2141,519
1811,1452,-2100,13048,6576,184,-2219,457
1812,1455,-2184,13120,7100,263,-2290,392
1813,1458,-2280,13148,7212,373,-2360,417
1814,1462,-2288,13100,7252,490,-2301,388
1815,1465,-2300,13000,7504,608,-2233,354
1816,1468,-2316,13016,7372,768,-2225,357
1817,1473,-2044,13060,7080,878,-2131,332
1818,1476,-2020,13068,7100,946,-2026,279
1819,1479,-2048,13024,6908,1069,-2035,246
1820,1483,-2084,12984,6900,1123,-2042,192
1821,1490,-2152,13064,6744,1297,-1896,127
1822,1493,-2140,13128,6604,1326,-1857,85
1823,1497,-2096,13056,6464,1371,-1842,61
1824,1500,-2096,13132,6312,1367,-1757,61
1825,1503,-2164,13172,6372,1369,-1785,52
1826,1507,-2324,13168,6016,1334,-1893,62
1827,1510,-2508,13356,6012,1318,-1994,46
1828,1513,-2304,13276,5828,1240,-1992,62
1829,1518,-2336,13344,5864,1177,-1977,67
1830,1521,-1968,13296,5752,1136,-2011,38
1831,1524,-1648,13232,6016,1083,-2021,-25
1832,1528,-1100,13276,6164,1048,-1947,-146
1833,1531,-972,13152,6432,1090,-1942,-315
1834,1538,-1660,13184,6788,1252,-1849,-498
1835,1541,-2300,13976,7424,1448,-1778,-428
1836,1545,-5360,16408,10320,2753,-1714,704
1837,1548,-10332,16468,8576,4390,-4713,2608
1838,1552,-8160,15312,5088,4616,-8584,3541
1839,1555,-6212,16604,6824,5188,-10445,4518
1840,1560,-6560,16444,7320,5926,-12195,5578
1841,1563,-3896,15284,4392,5999,-14580,5817
1842,1566,-1560,15080,5512,6570,-15624,6112
1843,1570,-2612,16164,7168,7050,-15922,6530
1844,1573,-4716,15404,5764,7549,-18194,7186
1845,1577,-6256,15328,6356,8069,-19932,8146
1846,1580,-7948,15304,6280,8958,-23405,9429
1847,1587,-3940,14796,3696,9629,-27631,10478
1848,1591,-1892,14136,3924,10009,-28277,10555
1849,1594,-2132,13228,3188,9941,-28639,10606
1850,1598,-3844,13264,6320,10381,-28965,10917
1851,1602,-904,12736,3244,10505,-29468,10791
1852,1606,2096,11676,268,9505,-28050,10164
1853,1609,7544,11560,2044,8268,-25093,8911
1854,1613,6356,11648,2232,7399,-21971,7736
1855,1616,5276,12436,4492,6574,-18811,6798
1856,1619,3016,11112,3460,6073,-16935,6280
1857,1623,3732,12300,6372,5523,-14386,5776
1858,1626,5140,12060,4420,4824,-12491,5151
1859,1630,3872,12440,4568,4272,-10938,4648
1860,1637,2840,13008,6992,3625,-8313,3859
1861,1640,924,12444,7008,3624,-7651,3660
1862,1644,3076,12960,5456,3345,-7108,3331
1863,1648,2592,13196,5892,2944,-6158,2867
1864,1651,3608,13780,4940,2662,-5572,2463
1865,1654,-356,13112,7836,2847,-5697,2520
1866,1658,2872,13116,4904,2417,-4870,2117
1867,1661,3048,14372,5300,2079,-3741,1743
1868,1664,2580,12924,3320,1565,-3512,1331
1869,1668,1668,13024,4720,977,-2728,884
1870,1671,1740,13432,3376,440,-2175,582
1871,1674,-416,13932,5856,358,-2058,647
1872,1678,-764,14132,5180,457,-2852,906
1873,1681,220,14000,5448,487,-3433,1045
1874,1689,1532,14196,5844,599,-3439,1045
1875,1692,2056,14180,6012,761,-3179,992
1876,1695,2400,14176,5936,892,-2818,928
1877,1699,2424,14088,5552,975,-2441,797
1878,1702,2116,14268,5152,1007,-2118,695
1879,1705,2048,14308,4508,969,-1816,634
1880,1709,1964,14220,4124,887,-1504,556
