,time,accX,accY,accZ,gyrX,gyrY,gyrZ
3837,1,2048,12008,8180,-272,124,136
3838,5,2052,12096,8284,-243,145,110
3839,8,2076,12040,8060,-180,192,79
3840,11,2028,12096,8132,-156,208,33
3841,14,1940,12068,8080,-159,149,36
3842,17,1812,12180,8072,-149,61,22
3843,20,1720,12160,8012,-115,-7,28
3844,23,1664,12048,8060,-100,-55,34
3845,26,1760,12068,7896,-90,-89,39
3846,31,1732,11988,7976,-58,-92,40
3847,34,1440,12124,8164,-19,-93,72
3848,37,976,12004,8288,7,-273,164
3849,40,976,12096,8216,51,-457,204
3850,48,1172,12280,7952,57,-752,448
3851,52,1500,12148,7728,62,-824,433
3852,55,1416,12088,7760,27,-887,499
3853,58,1168,12196,8024,56,-1081,553
3854,61,964,12148,8028,62,-1263,631
3855,64,1116,12116,7924,81,-1449,744
3856,67,1080,12136,7792,75,-1611,818
3857,70,748,12116,8016,100,-1842,899
3858,75,-80,12096,8168,100,-2295,1074
3859,78,-512,12024,8396,169,-2920,1299
3860,81,-448,12008,8396,243,-3422,1578
3861,84,-92,12032,8340,326,-3860,1810
3862,88,-180,12228,8264,355,-4438,2005
3863,91,-384,12040,8384,429,-4910,2239
3864,94,44,12060,8204,475,-5324,2504
3865,103,532,12104,7656,523,-6433,3028
3866,106,572,12216,7348,492,-6704,3203
3867,109,676,12216,7196,429,-6854,3394
3868,113,1108,12256,6804,329,-7056,3514
3869,117,980,12336,6584,166,-7372,3701
3870,120,-116,12300,7056,47,-7937,3883
3871,123,-724,12176,7552,2,-8692,4194
3872,127,-1264,12176,7644,2,-9359,4647
3873,130,-1292,12124,7464,-6,-10010,5092
3874,133,-988,12168,7112,-39,-10724,5463
3875,136,-1724,11960,7308,-96,-11870,5922
3876,140,-2940,11952,7868,-71,-13476,6513
3877,143,-3468,11740,8600,113,-15390,7105
3878,147,-2128,11776,8388,264,-16817,7663
3879,150,-408,11760,8008,345,-18054,7900
3880,160,26584,13820,-1328,-8447,15333,-10155
3881,163,-5560,13916,16396,-6817,17012,-10386
3882,167,-6504,12084,14236,-4817,10922,-8630
3883,170,6084,11532,8032,-4245,8921,-9033
3884,174,9552,12864,7200,-4355,12125,-10965
3885,177,8668,12192,4612,-5100,16005,-13429
3886,181,2280,13508,9580,-4662,18333,-14005
3887,184,1180,12216,8284,-4363,16615,-13942
3888,188,-4092,11236,8320,-3855,14724,-12549
3889,191,-3768,9532,9200,-3354,11650,-10712
3890,195,1332,11548,8108,-2977,10095,-9414
3891,198,6628,10232,6652,-2773,9512,-8404
3892,208,-468,11872,7712,-2746,7365,-5706
3893,211,2512,11100,6152,-2821,6861,-6067
3894,215,-3312,13060,11612,-2329,6490,-4953
3895,218,524,11508,11016,-2110,4925,-3827
3896,221,-816,11172,9376,-2011,3282,-3607
3897,225,384,11496,8940,-2083,3486,-3831
3898,228,3440,11476,7924,-1964,4357,-4441
3899,231,3908,12764,9116,-1764,4293,-4689
3900,235,3788,11492,8640,-1741,5032,-4837
3901,238,5232,11620,6668,-1792,5874,-5703
3902,242,4292,11984,9236,-1703,6206,-6572
3903,246,1636,11288,10344,-1451,6019,-6399
3904,249,32,11004,9124,-1341,5189,-6878
3905,253,7188,11544,7244,-1323,6639,-8852
3906,262,-552,11100,9352,-746,7475,-8977
3907,265,1604,11772,8680,-622,7240,-8826
3908,268,-2280,11744,9940,-208,4971,-7773
3909,272,-1172,11672,10024,-66,2341,-6404
3910,275,-1736,12432,10992,153,2262,-5850
3911,278,-5320,10920,12288,622,-2176,-2540
3912,282,4632,11224,9564,460,-2531,-2973
3913,285,-9520,14088,11732,1042,-3849,-101
3914,290,-9872,11848,13872,2041,-10948,3948
3915,293,10944,12584,6908,2012,-11778,2392
3916,296,9072,12376,7076,1891,-9181,1606
3917,300,8120,12272,6280,1621,-7035,767
3918,303,5896,12476,5944,1373,-5857,170
3919,312,4936,12160,5828,465,-1930,-1120
3920,315,2980,11816,7808,326,-1434,-1459
3921,319,1940,12180,5812,126,-386,-1422
3922,322,1456,12184,4928,-319,607,-1442
3923,325,-412,12252,4768,-799,1074,-1328
3924,330,-1192,12240,4796,-1287,1199,-1068
3925,333,-1656,12208,4928,-1727,1082,-807
3926,336,-1428,12248,5320,-2190,1101,-519
3927,340,-772,12268,5592,-2563,1192,-269
3928,343,108,12368,5972,-2930,1492,-167
3929,346,436,12452,6360,-3287,1977,-100
3930,350,-844,12416,6660,-3572,2139,40
3931,353,-2224,12420,6948,-3817,1728,330
3932,356,-3420,12308,7652,-3965,906,737
3933,380,1388,13424,9668,-1951,-11437,8916
3934,383,8652,16564,6024,-3186,-10548,7722
3935,387,13572,19332,4204,-6056,-6840,5192
3936,390,8776,17112,8784,-7395,-3579,3368
3937,394,5416,15748,10072,-7821,-3358,2465
3938,397,2524,14776,10700,-7981,-4497,2299
3939,400,1672,14360,10252,-8430,-5500,2639
3940,404,1608,12660,10644,-8812,-5494,2930
3941,407,2612,10432,10560,-8657,-6264,3292
3942,411,3260,9416,9804,-8533,-6224,3533
3943,415,2736,8208,9968,-8243,-6248,3863
3944,418,1896,6992,10136,-7654,-6795,4313
3945,422,1824,6308,10104,-6903,-7458,4758
3946,425,2420,5652,9888,-6127,-7863,5178
3947,434,3676,5524,9532,-3985,-8605,5696
3948,437,3564,5760,9424,-3198,-8558,5544
3949,441,3128,6520,9480,-2353,-8500,5332
3950,444,3424,7124,9128,-1688,-8196,5007
3951,447,3900,7752,9348,-1184,-7650,4522
3952,451,4544,8080,9684,-684,-6691,3838
3953,454,5384,8432,9840,-171,-5505,3053
3954,458,6352,8784,9724,202,-3762,2104
3955,462,7368,8908,9764,484,-1434,1072
3956,465,7508,8760,9612,748,806,-41
3957,468,7024,8624,9784,1075,2729,-1121
3958,471,6476,8452,9844,1511,4812,-2222
3959,475,5792,8560,9780,1934,6835,-3270
3960,478,5552,8580,9392,2287,8519,-4192
3961,487,4632,9148,8516,2575,11828,-6329
3962,490,3696,9504,8524,2439,12644,-6799
3963,493,3312,10060,8696,2228,13631,-7047
3964,497,2136,10736,8544,1949,14232,-7113
3965,501,1136,11340,8716,1673,14316,-6896
3966,505,-308,11996,9076,1418,13931,-6522
3967,508,-644,12176,9088,1237,13447,-6092
3968,511,-764,12076,8712,1002,12935,-5619
3969,515,-552,12364,8380,705,12619,-5183
3970,518,-888,13172,8152,245,12567,-4708
3971,521,-1224,13160,8120,-79,12347,-4393
3972,525,-2280,13024,8156,-226,11549,-4096
3973,528,-3352,13016,7992,-295,10302,-3617
3974,532,-4292,13060,7596,-370,8920,-2851
3975,540,-6096,12096,8196,210,3970,-209
3976,545,-6164,11736,8164,830,1607,596
3977,548,-4868,11800,7700,1360,-266,1172
3978,551,-3444,12388,7280,1657,-1212,1355
3979,555,-1884,13108,6936,1738,-1470,1213
3980,558,-1272,13468,7204,1717,-1460,971
3981,561,-824,13976,7604,1623,-1461,776
