,time,accX,accY,accZ,gyrX,gyrY,gyrZ
6992,2,-1096,13144,6664,-227,-37,144
6993,5,-1060,13188,6628,-232,8,147
6994,8,-1088,13096,6512,-263,22,141
6995,11,-1112,13028,6524,-283,43,136
6996,14,-1032,12996,6692,-274,71,114
6997,17,-1008,13100,6700,-289,105,119
6998,21,-1016,13072,6564,-294,102,97
6999,24,-960,13076,6736,-251,146,103
7000,27,-1000,13116,6688,-266,130,87
7001,30,-1020,13056,6548,-262,108,75
7002,34,-1120,13080,6628,-277,111,71
7003,43,-1104,13132,6668,-289,133,67
7004,46,-1168,13064,6668,-315,151,58
7005,50,-1144,13072,6724,-311,86,65
7006,53,-1256,13064,6572,-293,66,78
7007,56,-1168,12964,6624,-275,32,105
7008,59,-1124,13008,6632,-283,94,95
7009,62,-1132,13148,6480,-303,26,95
7010,65,-1376,13088,6676,-292,9,108
7011,68,-1280,13072,6628,-303,-79,151
7012,72,-1208,13116,6816,-258,-107,138
7013,76,-1224,13016,6684,-255,-122,153
7014,79,-1328,13108,6636,-274,-131,169
7015,82,-1204,13068,6648,-277,-197,158
7016,86,-1260,13180,6540,-274,-209,212
7017,89,-1164,13088,6516,-271,-261,210
7018,92,-972,13008,6748,-274,-202,206
7019,101,-780,13080,6952,-206,-21,116
7020,104,-828,13036,6852,-162,85,105
7021,107,-1096,13152,6664,-123,96,99
7022,111,-1188,13092,6676,-133,92,99
7023,114,-1220,13180,6536,-159,97,125
7024,118,-1244,13160,6328,-192,91,120
7025,121,-1180,13124,6412,-235,106,125
7026,124,-1164,13092,6468,-256,70,142
7027,128,-980,13112,6620,-249,78,99
7028,131,-864,13024,6664,-257,93,77
7029,134,-880,13072,6752,-264,170,62
7030,137,-972,13032,6784,-216,209,44
7031,140,-1108,13144,6796,-191,267,31
7032,143,-1152,13160,6784,-197,289,19
7033,147,-1296,13068,6568,-166,228,49
7034,155,-1368,13128,6328,-283,124,91
7035,160,-1344,13080,6580,-290,86,135
7036,163,-1260,13064,6644,-311,38,165
7037,166,-1168,13060,6768,-296,15,154
7038,169,-1020,13036,6788,-278,27,172
7039,173,-956,13124,6764,-262,39,138
7040,176,-1072,13004,6808,-231,65,158
7041,179,-944,13060,6784,-229,100,121
7042,182,-1004,13044,6736,-193,151,124
7043,185,-892,13052,6644,-213,173,94
7044,189,-1180,13164,6692,-175,248,69
7045,192,-1136,13116,6508,-187,234,97
7046,195,-1136,13068,6564,-225,243,103
7047,198,-1192,13084,6692,-221,223,78
7048,201,-992,13076,6592,-253,227,87
7049,211,-796,13068,6704,-200,322,-30
7050,214,-1000,13200,6608,-233,282,-28
7051,218,-676,12968,6720,-145,296,-121
7052,221,-1296,13052,6836,-137,393,-93
7053,224,-996,13080,6508,-143,352,-95
7054,227,-1040,13168,6424,-158,240,-96
7055,231,-1404,13084,6424,-197,75,-99
7056,234,-1172,13084,6328,-222,-53,-110
7057,237,-1168,13164,6680,-252,-48,-110
7058,240,-1284,13076,6500,-261,-125,-96
7059,244,-1416,13100,6608,-264,-231,-99
7060,248,-1244,13104,6564,-264,-339,-87
7061,251,-996,13024,6580,-276,-394,-106
7062,255,-828,13180,6760,-262,-448,-132
7063,264,-1448,13204,6884,-161,-296,-5
7064,267,-25632,12020,8644,-27,-109,9848
7065,270,-6276,11348,6780,-399,-9745,10262
7066,274,7492,13444,5924,-600,-8869,8110
7067,277,10468,13856,8240,-262,-5216,5790
7068,280,5484,13152,6440,-248,-2529,4819
7069,284,-776,13216,6804,-267,-1714,4432
7070,288,-3332,12372,6556,-45,-2278,5020
7071,291,516,12416,5600,-212,-3555,4623
7072,295,-96,14496,5184,-136,-2447,3843
7073,298,-4880,13928,7620,28,-2187,5763
7074,301,-5212,13328,6864,-19,-4913,6844
7075,304,-332,13272,6856,-74,-5720,6898
7076,308,-4488,12376,6308,-75,-5271,8916
7077,317,6316,13440,7304,139,-7101,8227
7078,320,3300,13356,7672,135,-5313,8325
7079,323,-400,11952,6972,210,-5292,8727
7080,327,-616,12632,5808,153,-5594,8908
7081,331,-1300,13128,6564,297,-5801,8412
7082,334,-1912,13896,6844,444,-5663,8954
7083,337,-964,12456,7560,612,-6130,9311
7084,341,544,12560,7060,531,-6288,9322
7085,344,2888,13204,6792,621,-6236,8478
7086,347,1180,13368,7460,797,-5847,8702
7087,351,5252,12152,5696,668,-5718,7382
7088,354,-2660,12488,7976,1101,-3806,9246
7089,357,-2964,13040,7480,1253,-6043,10302
7090,361,3580,13384,8104,1325,-7046,9818
7091,384,2000,12364,7704,1821,-6918,10622
7092,388,2384,12684,5536,1729,-6827,10060
7093,391,3120,12472,5928,1866,-6249,9142
7094,394,5736,14128,6548,1862,-5506,7791
7095,398,5472,13908,5240,1787,-4342,6734
7096,401,6936,14220,6048,1683,-3683,4747
7097,404,6312,14036,5856,1317,-2406,3174
7098,408,4580,14512,7304,1300,-1191,2606
7099,411,-2276,12224,5160,1163,-627,3578
7100,414,2048,13244,6408,1281,-2334,3538
7101,419,-1080,13280,6364,1449,-1905,4787
7102,422,1244,12788,4916,1159,-3183,4367
7103,425,4012,14128,6652,1117,-2597,3740
7104,429,296,12696,5444,824,-1615,4118
7105,438,-1792,13132,7352,724,-491,4758
7106,441,56,12908,5304,749,-2376,5126
7107,444,2688,13460,6188,507,-2230,5285
7108,447,3016,13444,5728,571,-2388,5085
7109,451,2384,13316,5468,376,-2197,5009
7110,454,4988,13944,4884,307,-2370,3241
7111,457,2392,13680,7224,190,-994,3450
7112,462,-216,13624,6680,212,-1522,4127
7113,465,5772,13904,4376,-40,-1888,2049
7114,468,564,14216,8880,1,-653,2929
7115,471,3456,13440,5404,-105,-1585,2191
7116,475,672,13508,6480,-159,-665,2270
7117,478,-1544,12428,6552,-110,-526,2968
7118,481,2128,12792,5756,-49,-1665,2614
7119,484,7600,14308,5464,-334,-1288,775
7120,493,1280,13296,6112,-495,-295,265
7121,497,2496,13212,6328,-478,-191,272
7122,500,2220,13208,6732,-454,-410,262
7123,504,2700,13272,6940,-373,-461,276
7124,507,3072,13204,6904,-299,-193,215
7125,511,3008,13168,6956,-205,81,163
7126,514,2748,13228,6808,-115,277,104
7127,517,2476,13172,6408,-85,281,85
7128,520,2500,13340,6312,-95,206,87
7129,523,2696,13352,6184,-122,138,99
7130,526,3116,13376,6068,-132,208,30
7131,530,2892,13284,5940,-152,252,-34
7132,533,2784,13280,6132,-166,286,-78
7133,536,2568,13368,6236,-181,278,-97
7134,539,2708,13340,6052,-212,240,-132
7135,549,2432,13304,6072,-265,123,-154
7136,552,2264,13304,5992,-262,90,-143
7137,556,2468,13348,6084,-278,105,-161
7138,559,2440,13332,6320,-320,60,-155
7139,562,2476,13276,6396,-287,94,-164
7140,565,2496,13304,6380,-305,49,-163
7141,568,2512,13264,6528,-253,31,-208
7142,572,2600,13228,6604,-242,81,-188
7143,575,2928,13360,6632,-172,121,-240
7144,578,2940,13236,6704,-142,314,-288
7145,581,2772,13296,6568,-86,401,-348
7146,585,2588,13228,6276,-83,447,-371
7147,589,2464,13244,6328,-45,505,-381
7148,592,2164,13344,6216,-60,512,-377
7149,595,2072,13292,6060,-75,523,-328
7150,604,2112,13380,6032,-169,356,-236
7151,607,2252,13252,6208,-203,301,-188
7152,611,2764,13304,6220,-188,362,-226
7153,614,2700,13380,6304,-195,482,-270
