,time,accX,accY,accZ,gyrX,gyrY,gyrZ
2311,1,172,12984,7112,-368,-507,566
2312,5,212,12944,7112,-362,-554,546
2313,8,260,12928,7004,-340,-611,481
2314,11,256,12868,7100,-342,-536,448
2315,14,180,12984,6868,-351,-514,442
2316,17,-80,12904,6860,-333,-631,420
2317,20,36,12968,6824,-374,-733,400
2318,24,100,12944,6760,-392,-778,357
2319,27,312,13052,7004,-415,-780,347
2320,30,360,12908,6908,-442,-745,301
2321,33,252,12968,6836,-429,-690,303
2322,36,408,12920,6988,-444,-676,249
2323,40,668,12920,7044,-429,-523,186
2324,44,716,12876,7144,-418,-333,95
2325,47,532,12916,7148,-371,-186,38
2326,50,352,12920,6980,-376,-108,13
2327,59,172,12824,6980,-375,-47,-64
2328,62,72,12912,6840,-385,-18,-76
2329,65,-144,12896,6820,-403,34,-62
2330,68,-100,12928,6892,-444,63,-70
2331,71,-148,12956,6952,-442,63,-44
2332,74,-88,12944,7036,-489,62,-38
2333,78,-180,12916,6800,-499,104,3
2334,82,-168,13020,6924,-524,77,-8
2335,85,-240,13092,6908,-525,75,8
2336,88,-300,12944,7016,-556,33,60
2337,91,-320,12892,7212,-554,-58,96
2338,94,-232,12908,7064,-542,-82,131
2339,97,-204,12908,7180,-522,-117,132
2340,101,-144,12920,7084,-491,-74,151
2341,104,-272,12868,7220,-497,-108,165
2342,107,-240,12880,7140,-484,-166,180
2343,116,24,12868,7116,-429,-246,179
2344,119,52,12952,7080,-395,-222,188
2345,123,-28,12808,7276,-365,-254,197
2346,126,-124,12972,7116,-359,-287,201
2347,130,-84,12996,7156,-321,-277,201
2348,133,-120,12892,7036,-321,-290,222
2349,136,-196,12860,7008,-338,-313,223
2350,139,-36,12884,7096,-318,-340,212
2351,143,-128,12920,6912,-326,-427,233
2352,146,-104,12984,7168,-340,-444,256
2353,149,-4,12852,7116,-299,-382,242
2354,152,-32,12820,7100,-311,-361,265
2355,156,16,12900,7016,-281,-315,250
2356,159,56,12860,6932,-278,-343,275
2357,162,4,12888,7000,-298,-321,227
